Report Number,Route Type,Road Name,Cross-Street Name,Collision Type,Municipality,Weather,Surface Condition,Traffic Control,Speed Limit,Latitude,Longitude,Date,Time,Year,Month,Day
DD56700006,Maryland (State),ROCKVILLE PIKE,W EDMONSTON DR,STRAIGHT MOVEMENT ANGLE,ROCKVILLE,,DRY,TRAFFIC SIGNAL,40,39.07443097,-77.13564536,2023-07-22,04:07:00,2023,7,22
MCP25520068,Maryland (State),FREDERICK RD,RIDGEMONT AVE,HEAD ON LEFT TURN,ROCKVILLE,CLEAR,WET,TRAFFIC SIGNAL,35,39.1190664,-77.1719867,2023-07-25,21:57:00,2023,7,25
DD5652003G,Maryland (State),NORBECK RD,AVERY RD,SAME DIR REAR END,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,50,39.09322594,-77.12211346,2023-07-21,14:26:00,2023,7,21
DD56700006,Maryland (State),ROCKVILLE PIKE,W EDMONSTON DR,STRAIGHT MOVEMENT ANGLE,ROCKVILLE,,DRY,TRAFFIC SIGNAL,30,39.07443097,-77.13564536,2023-07-22,04:07:00,2023,7,22
DD55830085,Maryland (State),HUNGERFORD DR,MANNAKEE ST,SAME DIR REAR END,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,35,39.09632033,-77.153139,2023-07-24,10:52:00,2023,7,24
DD5668000H,Maryland (State),NORBECK RD,E GUDE DR,SAME DIR REAR END,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,35,39.09056891,-77.12841149,2023-07-24,18:56:00,2023,7,24
DD5643002Y,Maryland (State),W JEFFERSON ST,S VAN BUREN ST,SAME DIR REAR END,ROCKVILLE,CLEAR,DRY,NO CONTROLS,35,39.08325452,-77.15625709,2023-07-22,23:00:00,2023,7,22
DD5668000G,Maryland (State),FREDERICK RD,KING FARM BLVD,HEAD ON LEFT TURN,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,25,39.11721722,-77.16898412,2023-07-20,16:51:00,2023,7,20
MCP25520068,Maryland (State),FREDERICK RD,RIDGEMONT AVE,HEAD ON LEFT TURN,ROCKVILLE,CLEAR,WET,TRAFFIC SIGNAL,35,39.1190664,-77.1719867,2023-07-25,21:57:00,2023,7,25
DD5652003G,Maryland (State),NORBECK RD,AVERY RD,SAME DIR REAR END,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,50,39.09322594,-77.12211346,2023-07-21,14:26:00,2023,7,21
DD5643002Y,Maryland (State),W JEFFERSON ST,S VAN BUREN ST,SAME DIR REAR END,ROCKVILLE,CLEAR,DRY,NO CONTROLS,35,39.08325452,-77.15625709,2023-07-22,23:00:00,2023,7,22
DD55830085,Maryland (State),HUNGERFORD DR,MANNAKEE ST,SAME DIR REAR END,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,35,39.09632033,-77.153139,2023-07-24,10:52:00,2023,7,24
DD5668000G,Maryland (State),FREDERICK RD,KING FARM BLVD,HEAD ON LEFT TURN,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,25,39.11721722,-77.16898412,2023-07-20,16:51:00,2023,7,20
DD559500DQ,Municipality,EDMONSTON DR,CRAWFORD DR,OTHER,ROCKVILLE,CLEAR,DRY,NO CONTROLS,25,39.07683,-77.13133667,2023-07-23,12:13:00,2023,7,23
DD5668000H,Maryland (State),NORBECK RD,E GUDE DR,SAME DIR REAR END,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,35,39.09056891,-77.12841149,2023-07-24,18:56:00,2023,7,24
DD561500FH,Maryland (State),ROCKVILLE PIKE,RICHARD MONTGOMERY DR,STRAIGHT MOVEMENT ANGLE,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,25,39.08383985,-77.15311808,2023-07-25,15:20:00,2023,7,25
DD561500FH,Maryland (State),ROCKVILLE PIKE,RICHARD MONTGOMERY DR,STRAIGHT MOVEMENT ANGLE,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,35,39.08383985,-77.15311808,2023-07-25,15:20:00,2023,7,25
DD5644003C,Municipality,N WASHINGTON ST,DAWSON AVE,SAME DIRECTION SIDESWIPE,ROCKVILLE,CLEAR,DRY,,25,39.0889775,-77.15369233,2023-07-29,20:17:00,2023,7,29
DD5652003H,Maryland (State),NORBECK RD,E GUDE DR,SAME DIR REAR END,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,40,39.09058991,-77.12834758,2023-07-31,10:40:00,2023,7,31
DD5652003H,Maryland (State),NORBECK RD,E GUDE DR,SAME DIR REAR END,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,40,39.09058991,-77.12834758,2023-07-31,10:40:00,2023,7,31
DD56690004,Maryland (State),VEIRS MILL RD,ATLANTIC AVE,HEAD ON LEFT TURN,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,35,39.07499017,-77.1155822,2023-07-27,21:32:00,2023,7,27
DD56690004,Maryland (State),VEIRS MILL RD,ATLANTIC AVE,HEAD ON LEFT TURN,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,35,39.07499017,-77.1155822,2023-07-27,21:32:00,2023,7,27
DD5660000F,Municipality,PRETTYMAN DR,JAY DR,SAME DIR REAR END,ROCKVILLE,RAINING,WET,NO CONTROLS,35,39.09482,-77.19386583,2023-07-27,21:12:00,2023,7,27
DD5644003C,Municipality,N WASHINGTON ST,DAWSON AVE,SAME DIRECTION SIDESWIPE,ROCKVILLE,CLEAR,DRY,,25,39.0889775,-77.15369233,2023-07-29,20:17:00,2023,7,29
MCP23390086,Municipality,E GUDE DR,TAFT ST,OTHER,ROCKVILLE,CLEAR,DRY,NO CONTROLS,35,39.09669446,-77.1353897,2023-05-10,17:01:00,2023,5,10
DD5652003H,Maryland (State),NORBECK RD,E GUDE DR,SAME DIR REAR END,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,40,39.09058991,-77.12834758,2023-07-31,10:40:00,2023,7,31
DD559500DS,Maryland (State),ROCKVILLE PIKE,MT VERNON PL,STRAIGHT MOVEMENT ANGLE,ROCKVILLE,CLOUDY,DRY,STOP SIGN,25,39.078854,-77.14208983,2023-08-05,12:15:00,2023,8,5
DD56570012,Municipality,E MONTGOMERY AVE,MONROE ST,OTHER,ROCKVILLE,CLEAR,DRY,,10,39.08402489,-77.14967855,2023-08-05,13:30:00,2023,8,5
MCP13780156,Maryland (State),FREDERICK RD,KING FARM BLVD,SAME DIR REAR END,ROCKVILLE,CLOUDY,DRY,TRAFFIC SIGNAL,40,39.11752117,-77.16966667,2023-08-08,12:38:00,2023,8,8
DD5612003Z,Maryland (State),W MONTGOMERY AVE,RESEARCH BLVD,SAME DIR REAR END,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,45,39.09082052,-77.17911591,2023-08-09,13:37:00,2023,8,9
MCP2339008K,County,TWINBROOK PKWY,PIER DR,SAME DIRECTION SIDESWIPE,ROCKVILLE,RAINING,WET,NO CONTROLS,35,39.06758717,-77.11393483,2023-08-07,17:45:00,2023,8,7
MCP2552006B,Maryland (State),HUNGERFORD DR,BEALL AVE #2,HEAD ON LEFT TURN,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,35,39.08741667,-77.15017167,2023-08-02,18:27:00,2023,8,2
MCP13780156,Maryland (State),FREDERICK RD,KING FARM BLVD,SAME DIR REAR END,ROCKVILLE,CLOUDY,DRY,TRAFFIC SIGNAL,40,39.11752117,-77.16966667,2023-08-08,12:38:00,2023,8,8
DD5612003Z,Maryland (State),W MONTGOMERY AVE,RESEARCH BLVD,SAME DIR REAR END,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,45,39.09082052,-77.17911591,2023-08-09,13:37:00,2023,8,9
MCP13780155,Maryland (State),VEIRS MILL RD,ATLANTIC AVE,SAME DIR REAR END,ROCKVILLE,CLOUDY,DRY,NO CONTROLS,30,39.07544167,-77.11728167,2023-08-07,16:55:00,2023,8,7
DD5612003Z,Maryland (State),W MONTGOMERY AVE,RESEARCH BLVD,SAME DIR REAR END,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,45,39.09082052,-77.17911591,2023-08-09,13:37:00,2023,8,9
DD5612003Z,Maryland (State),W MONTGOMERY AVE,RESEARCH BLVD,SAME DIR REAR END,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,45,39.09082052,-77.17911591,2023-08-09,13:37:00,2023,8,9
MCP13780156,Maryland (State),FREDERICK RD,KING FARM BLVD,SAME DIR REAR END,ROCKVILLE,CLOUDY,DRY,TRAFFIC SIGNAL,40,39.11752117,-77.16966667,2023-08-08,12:38:00,2023,8,8
MCP13780155,Maryland (State),VEIRS MILL RD,ATLANTIC AVE,SAME DIR REAR END,ROCKVILLE,CLOUDY,DRY,NO CONTROLS,30,39.07544167,-77.11728167,2023-08-07,16:55:00,2023,8,7
MCP13780155,Maryland (State),VEIRS MILL RD,ATLANTIC AVE,SAME DIR REAR END,ROCKVILLE,CLOUDY,DRY,NO CONTROLS,30,39.07544167,-77.11728167,2023-08-07,16:55:00,2023,8,7
DD5664000S,County,CHAPMAN AVE,ROLLINS AVE,HEAD ON LEFT TURN,ROCKVILLE,CLOUDY,DRY,,25,39.05781985,-77.11803094,2023-08-07,10:13:00,2023,8,7
MCP9419004K,Maryland (State),FREDERICK RD,KING FARM BLVD,SAME DIR REAR END,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,40,39.117035,-77.16878833,2023-08-09,08:47:00,2023,8,9
DD56570012,Municipality,E MONTGOMERY AVE,MONROE ST,OTHER,ROCKVILLE,CLEAR,DRY,,10,39.08402489,-77.14967855,2023-08-05,13:30:00,2023,8,5
MCP2552006B,Maryland (State),HUNGERFORD DR,BEALL AVE #2,HEAD ON LEFT TURN,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,35,39.08741667,-77.15017167,2023-08-02,18:27:00,2023,8,2
MCP9419004K,Maryland (State),FREDERICK RD,KING FARM BLVD,SAME DIR REAR END,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,40,39.117035,-77.16878833,2023-08-09,08:47:00,2023,8,9
DD559500DS,Maryland (State),ROCKVILLE PIKE,MT VERNON PL,STRAIGHT MOVEMENT ANGLE,ROCKVILLE,CLOUDY,DRY,STOP SIGN,30,39.078854,-77.14208983,2023-08-05,12:15:00,2023,8,5
MCP2339008K,County,TWINBROOK PKWY,PIER DR,SAME DIRECTION SIDESWIPE,ROCKVILLE,RAINING,WET,NO CONTROLS,35,39.06758717,-77.11393483,2023-08-07,17:45:00,2023,8,7
DD5664000S,County,CHAPMAN AVE,ROLLINS AVE,HEAD ON LEFT TURN,ROCKVILLE,CLOUDY,DRY,,25,39.05781985,-77.11803094,2023-08-07,10:13:00,2023,8,7
DD56100088,Maryland (State),VEIRS MILL RD,ATLANTIC AVE,OTHER,ROCKVILLE,CLEAR,DRY,NO CONTROLS,10,39.07569983,-77.11697883,2023-08-16,14:47:00,2023,8,16
DD5623002L,Maryland (State),FIRST ST,BALTIMORE RD,SAME DIRECTION LEFT TURN,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,40,39.08455193,-77.13617105,2023-08-14,19:10:00,2023,8,14
DD56100088,Maryland (State),VEIRS MILL RD,ATLANTIC AVE,OTHER,ROCKVILLE,CLEAR,DRY,NO CONTROLS,5,39.07569983,-77.11697883,2023-08-16,14:47:00,2023,8,16
DD561500FM,Maryland (State),ROCKVILLE PIKE,ROLLINS AVE,STRAIGHT MOVEMENT ANGLE,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,40,39.0754091,-77.13764598,2023-08-13,12:55:00,2023,8,13
DD55750031,Maryland (State),HUNGERFORD DR,COLLEGE PKWY,HEAD ON LEFT TURN,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,40,39.10344323,-77.15596447,2023-08-16,17:00:00,2023,8,16
DD56430030,Maryland (State),HUNGERFORD DR,N WASHINGTON ST,SINGLE VEHICLE,ROCKVILLE,,DRY,TRAFFIC SIGNAL,35,39.09206109,-77.15329495,2023-08-15,02:34:00,2023,8,15
MCP2108001L,Maryland (State),ROCKVILLE PIKE,TWINBROOK PKWY,HEAD ON LEFT TURN,ROCKVILLE,RAINING,WET,TRAFFIC SIGNAL,35,39.059255,-77.12144667,2023-08-06,22:19:00,2023,8,6
DD561500FM,Maryland (State),ROCKVILLE PIKE,ROLLINS AVE,STRAIGHT MOVEMENT ANGLE,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,40,39.0754091,-77.13764598,2023-08-13,12:55:00,2023,8,13
MCP2108001L,Maryland (State),ROCKVILLE PIKE,TWINBROOK PKWY,HEAD ON LEFT TURN,ROCKVILLE,RAINING,WET,TRAFFIC SIGNAL,35,39.059255,-77.12144667,2023-08-06,22:19:00,2023,8,6
