Report Number,Route Type,Road Name,Cross-Street Name,Collision Type,Municipality,Weather,Surface Condition,Traffic Control,Speed Limit,Latitude,Longitude,Date,Time,Year,Month,Day
EJ78850036,Municipality,FIRSTFIELD RD,QUINCE ORCHARD BLVD,STRAIGHT MOVEMENT ANGLE,GAITHERSBURG,CLEAR,DRY,STOP SIGN,30,39.1419905,-77.22437083,2023-07-20,14:48:00,2023,7,20
MCP3161005H,Maryland (State),BRADLEY LA,WEST AVE,SAME DIR REAR END,CHEVY CHASE #4,CLEAR,DRY,NO CONTROLS,25,38.97718617,-77.08832426,2023-07-27,16:14:00,2023,7,27
DM8476004Z,Maryland (State),NEW HAMPSHIRE AVE,HOLTON LA,SAME DIRECTION RIGHT TURN,TAKOMA PARK,CLEAR,DRY,,35,38.98594692,-76.98815939,2023-07-22,17:10:00,2023,7,22
EJ78940034,Municipality,W DEER PARK RD,CEDAR AVE,SAME DIR REAR END,GAITHERSBURG,CLEAR,DRY,NO CONTROLS,25,39.13346347,-77.20338598,2023-07-15,10:47:00,2023,7,15
DD56700006,Maryland (State),ROCKVILLE PIKE,W EDMONSTON DR,STRAIGHT MOVEMENT ANGLE,ROCKVILLE,,DRY,TRAFFIC SIGNAL,40,39.07443097,-77.13564536,2023-07-22,04:07:00,2023,7,22
MCP25520068,Maryland (State),FREDERICK RD,RIDGEMONT AVE,HEAD ON LEFT TURN,ROCKVILLE,CLEAR,WET,TRAFFIC SIGNAL,35,39.1190664,-77.1719867,2023-07-25,21:57:00,2023,7,25
DD5652003G,Maryland (State),NORBECK RD,AVERY RD,SAME DIR REAR END,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,50,39.09322594,-77.12211346,2023-07-21,14:26:00,2023,7,21
MCP2450004J,County,LONGDRAFT RD,PHEASANT RUN DR,STRAIGHT MOVEMENT ANGLE,GAITHERSBURG,,DRY,STOP SIGN,35,39.14465,-77.23838333,2023-07-22,15:49:00,2023,7,22
EJ78520080,Maryland (State),FREDERICK RD,MARYLAND AVE,HEAD ON LEFT TURN,GAITHERSBURG,,DRY,NO CONTROLS,30,39.14496884,-77.20256724,2023-07-16,16:40:00,2023,7,16
DD56700006,Maryland (State),ROCKVILLE PIKE,W EDMONSTON DR,STRAIGHT MOVEMENT ANGLE,ROCKVILLE,,DRY,TRAFFIC SIGNAL,30,39.07443097,-77.13564536,2023-07-22,04:07:00,2023,7,22
EJ78850036,Municipality,FIRSTFIELD RD,QUINCE ORCHARD BLVD,STRAIGHT MOVEMENT ANGLE,GAITHERSBURG,CLEAR,DRY,STOP SIGN,30,39.1419905,-77.22437083,2023-07-20,14:48:00,2023,7,20
DD55830085,Maryland (State),HUNGERFORD DR,MANNAKEE ST,SAME DIR REAR END,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,35,39.09632033,-77.153139,2023-07-24,10:52:00,2023,7,24
DD5668000H,Maryland (State),NORBECK RD,E GUDE DR,SAME DIR REAR END,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,35,39.09056891,-77.12841149,2023-07-24,18:56:00,2023,7,24
